State,Population,Revenue,Mls Librarian Staff
AK,647586,35984725,58.86000000000001
AL,4833722,104479197,328.08
AR,2643930,74999703,145.11
AS,60324,466525,1.0
AZ,6758252,179986697,473.98
CA,38697702,1417433751,3080.2600000000007
CO,5265461,299659360,727.7699999999999
CT,3596673,198873464,756.0899999999999
DC,672228,57526154,163.0
DE,935043,26470866,63.21999999999999
FL,19772704,549089109,1679.66
GA,10250112,188071835,576.97
GU,159358,1155568,0.0
HI,1419561,34244320,152.0
IA,3071940,123518568,298.93000000000006
ID,1366746,53934136,100.2
IL,11783922,805794600,2172.000000000002
IN,6100141,329443551,968.5899999999997
KS,2499710,123928251,275.77000000000004
KY,4395294,183221207,363.08
LA,4670721,236950449,457.61
MA,6672690,292955093,1266.8500000000017
MD,5884564,316910036,662.0
ME,1213396,45786864,153.93000000000004
MI,9844799,401576405,1220.5300000000007
MN,5502682,218496662,525.31
MO,5476144,251525104,296.52000000000004
MS,2982557,51484553,130.51
MT,988533,28032704,68.14999999999999
NC,9953687,218302244,743.6400000000001
ND,673057,19312836,38.06
NE,1566135,57619754,92.49000000000005
NH,1174259,59770568,224.48000000000002
NJ,8708749,473113493,1163.9900000000014
NM,1646421,51589632,126.81
NV,2842285,92091316,163.98000000000002
NY,19378115,1363288174,3575.3200000000047
OH,11509951,797687318,1922.5200000000018
OK,3201818,121060592,338.18
OR,3754301,214096786,435.83
PA,12428102,355637605,1179.64
RI,1057850,49180797,216.69999999999993
SC,4652360,135456140,471.08
SD,757713,26359916,43.54
TN,6412473,118795684,271.59999999999997
TX,26956961,509044739,1677.9800000000007
UT,2922600,107449559,224.04
VA,8164556,285315091,897.74
VT,605296,23802762,67.21
WA,6955368,416337556,798.1899999999999
WI,5749006,233540553,711.8599999999999
WV,1852994,37047646,95.08000000000001
WY,584153,33530400,61.660000000000004
